@relation 'Movie_Data-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-R4,7'

@attribute Genre {'Sci-Fi Fantasy','Drama','Science fiction','Action / Adventure','Action Thriller','Animation','Family Adventure','Period Adventure','Sci-Fi Action','Sci-Fi Horror','Fantasy','Historical Drama','Action','Comedy / Drama','Romance','Horror','Action Adventure','Animation','Comedy','Family Comedy','Sci-Fi Thriller','Horror Thriller','Sci-Fi Adventure`','Sports Drama','Sci-Fi Comedy','Adventure','Action Drama','War','Historical Epic','Action','Sci-Fi Adventure','Period Drama','Thriller','Action Comedy','Crime Drama','Sci-Fi','Fantasy Comedy','Crime Comedy','Action / Crime','War Drama','Western','Unknown','Drama Thriller','Family','Adventure Comedy','Sports Action','Romantic Comedy'}
@attribute 'Runtime (minutes)' {'(-inf-96.6)','(96.6-110.2)','(110.2-123.8)','(123.8-inf)'}
@attribute Distributor {'Disney','Fox','Paramount','Universal','Buena Vista','Warner Bros','DreamWorks','Sony','Newmarket','Buena Vista','Sony / Columbia','New Line','Warner Bros.','Summit Entertainment','Lionsgate','Columbia','Orion Pictures','MGM','Lionsgate / Summit','Sony (Revolution)','Miramax','United Artists','TriStar','Clarius Entertainment','Samuel Goldwyn','Weinstein Company','Freestyle Releasing'}
@attribute 'Rating ' {'PG-13','PG','G','R','PG','NR'}
@attribute Theaters {'(-inf-445.9)','(445.9-892.8)','(892.8-1339.7)','(1339.7-1786.6)','(1786.6-2233.5)','(2233.5-2680.4)','(2680.4-3127.3)','(3127.3-3574.2)','(3574.2-inf)'}
@attribute 'Month of Release' real
@attribute Profitable real

@data
'Romance','(123.8-inf)','Summit Entertainment','PG-13','(3574.2-inf)',6,1
'Romance','(123.8-inf)','Summit Entertainment','PG-13','(3574.2-inf)',11,1
'Fantasy','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',11,1
'Horror','(96.6-110.2)','Buena Vista','PG-13','(2680.4-3127.3)',8,1
'Animation','(123.8-inf)','Buena Vista','PG','(3574.2-inf)',5,1
'Sci-Fi Action','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',7,1
'Romance','(110.2-123.8)','Summit Entertainment','PG-13','(3574.2-inf)',11,1
'Fantasy','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',7,1
'Fantasy','(123.8-inf)','Buena Vista','PG','(3574.2-inf)',12,1
'Action Adventure','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',6,1
'Sci-Fi Fantasy','(123.8-inf)','Fox','PG','(892.8-1339.7)',5,1
'Fantasy','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',11,1
'Animation','(-inf-96.6)','Buena Vista','G','(3574.2-inf)',11,1
'Action Adventure','(123.8-inf)','Lionsgate','PG-13','(3574.2-inf)',11,1
'Sci-Fi Action','(123.8-inf)','Warner Bros.','R','(3574.2-inf)',5,1
'Romance','(96.6-110.2)','Summit Entertainment','PG-13','(3574.2-inf)',11,1
'Comedy','(110.2-123.8)','Universal','PG-13','(3127.3-3574.2)',12,1
'Family Comedy','(96.6-110.2)','Fox','PG','(1786.6-2233.5)',11,1
'Comedy','(-inf-96.6)','Warner Bros.','R','(3127.3-3574.2)',6,1
'Sci-Fi Thriller','(-inf-96.6)','Warner Bros.','PG-13','(3574.2-inf)',10,1
'Animation','(96.6-110.2)','Buena Vista','G','(3574.2-inf)',6,1
'Animation','(-inf-96.6)','DreamWorks','PG','(3574.2-inf)',5,1
'Action Adventure','(123.8-inf)','Sony / Columbia','PG-13','(3574.2-inf)',7,1
'Fantasy','(123.8-inf)','Warner Bros.','PG','(3574.2-inf)',11,1
'Animation','(110.2-123.8)','Buena Vista','PG','(3574.2-inf)',11,1
'Family Comedy','(96.6-110.2)','Universal','PG','(3127.3-3574.2)',11,1
'Horror Thriller','(123.8-inf)','Universal','PG','(445.9-892.8)',6,1
'Action Adventure','(123.8-inf)','Buena Vista','PG-13','(3574.2-inf)',4,1
'Fantasy','(123.8-inf)','New Line','PG-13','(3574.2-inf)',12,1
'Animation','(96.6-110.2)','Warner Bros.','PG','(3574.2-inf)',2,1
'Sci-Fi Adventure`','(123.8-inf)','Paramount','PG-13','(3574.2-inf)',5,1
'Sci-Fi Horror','(96.6-110.2)','Warner Bros.','PG-13','(3574.2-inf)',12,1
'Sports Drama','(123.8-inf)','Warner Bros.','PG-13','(3127.3-3574.2)',11,1
'Fantasy','(123.8-inf)','New Line','PG-13','(3574.2-inf)',12,1
'Comedy','(96.6-110.2)','Warner Bros.','R','(3574.2-inf)',5,1
'Animation','(96.6-110.2)','Buena Vista','PG','(3574.2-inf)',3,1
'Animation','(-inf-96.6)','Universal','PG','(3574.2-inf)',7,1
'Family Adventure','(96.6-110.2)','Fox','PG','(3574.2-inf)',12,1
'Sci-Fi Comedy','(96.6-110.2)','Sony / Columbia','PG-13','(3127.3-3574.2)',7,1
'Fantasy','(123.8-inf)','Warner Bros.','PG','(3574.2-inf)',6,1
'Action Adventure','(123.8-inf)','Warner Bros.','PG-13','(1786.6-2233.5)',6,1
'Period Adventure','(110.2-123.8)','Paramount','PG','(892.8-1339.7)',6,1
'Animation','(-inf-96.6)','Buena Vista','G','(3127.3-3574.2)',11,1
'Sci-Fi Action','(123.8-inf)','Paramount','PG-13','(3574.2-inf)',6,1
'Adventure','(96.6-110.2)','Buena Vista','R','(2233.5-2680.4)',8,0
'Action Drama','(123.8-inf)','Universal','PG-13','(2680.4-3127.3)',12,0
'Unknown','(123.8-inf)','Columbia','PG','(-inf-445.9)',3,0
'Sci-Fi Comedy','(-inf-96.6)','Warner Bros.','PG-13','(2233.5-2680.4)',8,0
'Family Comedy','(-inf-96.6)','Universal','PG','(2233.5-2680.4)',6,0
'War','(123.8-inf)','Buena Vista','PG-13','(2233.5-2680.4)',4,0
'Historical Epic','(123.8-inf)','Warner Bros.','R','(2233.5-2680.4)',11,0
'Sports Drama','(123.8-inf)','Sony / Columbia','R','(2233.5-2680.4)',12,0
'Comedy / Drama','(96.6-110.2)','Sony / Columbia','PG-13','(2680.4-3127.3)',5,0
'Family Adventure','(110.2-123.8)','Buena Vista','PG','(2680.4-3127.3)',6,0
'Horror Thriller','(96.6-110.2)','New Line','R','(1786.6-2233.5)',8,0
'Action','(-inf-96.6)','Warner Bros.','R','(2680.4-3127.3)',9,0
'Sci-Fi Adventure','(110.2-123.8)','Warner Bros.','PG-13','(3127.3-3574.2)',5,0
'Action','(123.8-inf)','Universal','PG-13','(3574.2-inf)',5,0
'Period Drama','(123.8-inf)','Buena Vista','R','(1339.7-1786.6)',10,0
'Thriller','(123.8-inf)','Universal','R','(2233.5-2680.4)',1,0
'Comedy','(123.8-inf)','Warner Bros.','R','(1339.7-1786.6)',12,0
'Action / Adventure','(96.6-110.2)','Warner Bros.','PG-13','(2680.4-3127.3)',7,0
'Action Comedy','(96.6-110.2)','Warner Bros.','R','(2233.5-2680.4)',9,0
