Movie_Num,Title,Production Budget,Domestic,International,Worldwide,Profitable,Genre,Runtime (minutes),Distributor,Rating ,Theaters,Month of Release,,,,,,,,,,,,
46,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317023851,469534294,786558145,1,Period Adventure,120,Paramount,PG-13,4264,5,,,,,,,,,,,,
47,The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,571672938,887217688,1,Fantasy,178,New Line Cinema,PG-13,3381,12,,,,,,,,,,,,
48,Iron Man 2,200000000,312128345,311128000,623256345,1,Action / Adventure,125,Paramount,PG-13,4390,5,,,,,,,,,,,,
49,Pirates of the Caribbean: At Worlds End,300000000,309420425,654000000,963420425,1,Period Adventure,168,Bueno Vista,PG-13,4362,5,,,,,,,,,,,,
50,Star Wars Ep. VI: Return of the Jedi,32500000,309125409,263500000,572625409,1,Sci-Fi Fantasy,134,Fox,PG,1764,5,,,,,,,,,,,,
51,Independence Day,75000000,306124059,511231623,817355682,1,Sci-Fi Action,153,Fox,PG-13,2977,7,,,,,,,,,,,,
52,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305411224,329542879,634954103,1,Period Adventure,135,Buena Vista,PG-13,3416,7,,,,,,,,,,,,
53,Skyfall,200000000,304360277,806166704,1110526981,1,Action,143,Sony / Columbia,PG-13,3526,11,,,,,,,,,,,,
54,The Hobbit: An Unexpected Journey,180000000,303003568,714000000,1017003568,1,Fantasy,166,New Line,PG-13,4100,12,,,,,,,,,,,,
55,Star Wars Ep. II: Attack of the Clones,115000000,302181125,346018875,648200000,1,Sci-Fi Fantasy,132,Fox,PG,3161,5,,,,,,,,,,,,
56,Harry Potter and the Half-Blood Prince,250000000,301959197,633124489,935083686,1,Fantasy,153,Warner Bros.,PG,4455,7,,,,,,,,,,,,
57,The Twilight Saga: Eclipse,68000000,300531751,405571077,706102828,1,Romance,124,Summit Entertainment,PG-13,4468,6,,,,,,,,,,,,
58,The Twilight Saga: New Moon,50000000,296623634,390934093,687557727,1,Romance,130,Summit Entertainment,PG-13,4124,11,,,,,,,,,,,,
59,Harry Potter and the Deathly Hallows: Part I,250000000,295001070,664300000,959301070,1,Fantasy,150,Warner Bros.,PG-13,4125,11,,,,,,,,,,,,
60,The Sixth Sense,55000000,293506292,379300000,672806292,1,Horror,107,Buena Vista,PG-13,2821,8,,,,,,,,,,,,
61,Up,175000000,293004164,438538457,731542621,1,Animation,156,Buena Vista,PG,3886,5,,,,,,,,,,,,
62,Inception,160000000,292576195,540008221,832584416,1,Sci-Fi Action,148,Warner Bros.,PG-13,3792,7,,,,,,,,,,,,
63,"The Twilight Saga: Breaking Dawn, Part 2",120000000,292324737,537400000,829724737,1,Romance,116,Summit Entertainment,PG-13,4070,11,,,,,,,,,,,,
64,Harry Potter and the Order of the Phoenix,150000000,292004738,650939197,942943935,1,Fantasy,139,Warner Bros.,PG-13,4285,7,,,,,,,,,,,,
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,428828615,720539572,1,Fantasy,132,Buena Vista,PG,3853,12,,,,,,,,,,,,
66,Man of Steel,200000000,291045518,376954000,667999518,1,Action Adventure,143,Warner Bros.,PG-13,4207,6,,,,,,,,,,,,
67,Star Wars Ep. V: The Empire Strikes Back,33000000,290158751,243900000,534058751,1,Sci-Fi Fantasy,129,Fox,PG,1278,5,,,,,,,,,,,,
68,Harry Potter and the Goblet of Fire,150000000,290013036,606898042,896911078,1,Fantasy,153,Warner Bros.,PG-13,3858,11,,,,,,,,,,,,
